test,label,rep,from_v,to_v,phaseA_clean,n,duration_s,wheel_vel_final,wheel_vel_peak,platform_net_deg,platform_peak_dps,iq_ss_A,stop_reason
1,"step 0 -> 1.0V, then release to 0",1,0.0,1.0,?,714,2.227,7.7,7.761,-12.56,-28.86,,platform_settled
2,"step 0 -> 1.5V, then release to 0",1,0.0,1.5,?,779,2.433,12.404,12.474,-41.08,-75.76,,platform_settled
3,"step 0 -> 2.5V, then release to 0",1,0.0,2.5,?,861,2.687,20.254,20.755,-121.6,-157.91,,platform_settled
4,"step 0 -> 4.0V, then release to 0",1,0.0,4.0,?,901,2.813,30.485,30.651,-189.81,-250.81,,platform_settled
5,"step 0 -> -1.0V (negative direction), then release to 0",1,0.0,-1.0,?,644,2.012,-7.236,-7.386,7.98,26.03,,platform_settled
6,"spin to 1.0V, then release to 0 (release-from-speed)",1,1.0,0.0,?,860,2.684,0.243,8.533,0.33,35.4,,platform_settled
7,"spin to 1.0V, then reverse to -1.0V",1,1.0,-1.0,?,1084,3.384,-8.14,8.499,90.7,130.01,,platform_settled
8,"spin to 1.5V, then reverse to -0.8V",1,1.5,-0.8,?,1014,3.165,-5.83,13.31,62.28,155.75,,platform_settled
9,"spin to 3.0V, then reverse to -2.0V",1,3.0,-2.0,?,1569,4.899,-17.014,25.374,196.08,348.12,,platform_settled
