test,label,rep,from_v,to_v,phaseA_clean,n,duration_s,wheel_vel_final,wheel_vel_peak,platform_net_deg,platform_peak_dps,iq_ss_A,stop_reason
38,breakaway step 0 -> 0.70V [rep 2/2],2,0.0,0.7,yes,472,2.302,5.501,5.636,-0.61,-6.75,0.02728,fixed_window
40,breakaway step 0 -> 0.80V [rep 2/2],2,0.0,0.8,yes,470,2.297,6.552,6.633,-1.36,-11.4,0.02985,fixed_window
41,breakaway step 0 -> 0.85V [rep 2/2],2,0.0,0.85,yes,470,2.298,6.906,7.033,-0.58,-6.58,0.07915,fixed_window
42,breakaway step 0 -> 0.90V [rep 2/2],2,0.0,0.9,yes,470,2.298,7.464,7.582,-3.33,-19.54,0.05527,fixed_window
43,breakaway step 0 -> 0.95V [rep 2/2],2,0.0,0.95,yes,469,2.294,7.895,7.983,-4.47,-21.4,0.08691,fixed_window
44,breakaway step 0 -> 1.00V [rep 2/2],2,0.0,1.0,yes,470,2.297,8.278,8.386,-9.41,-21.54,0.10672,fixed_window
45,breakaway step 0 -> 1.05V [rep 2/2],2,0.0,1.05,yes,470,2.298,8.742,8.819,-18.17,-35.52,0.13098,fixed_window
46,breakaway step 0 -> 1.10V [rep 2/2],2,0.0,1.1,yes,470,2.298,9.179,9.277,-26.54,-43.11,0.14512,fixed_window
47,breakaway step 0 -> 1.15V [rep 2/2],2,0.0,1.15,yes,470,2.298,9.556,9.621,-34.23,-53.63,0.1449,fixed_window
48,breakaway step 0 -> 1.20V [rep 2/2],2,0.0,1.2,yes,470,2.299,10.193,10.288,-27.93,-46.26,0.1357,fixed_window
