test,label,rep,from_v,to_v,phaseA_clean,n,duration_s,wheel_vel_final,wheel_vel_peak,platform_net_deg,platform_peak_dps,iq_ss_A,stop_reason
1,breakaway step 0 -> 0.05V [rep 1/2],1,0.0,0.05,yes,471,2.301,0.002,-0.002,-0.02,-0.14,,fixed_window
2,breakaway step 0 -> 0.10V [rep 1/2],1,0.0,0.1,yes,471,2.301,0.017,0.074,-0.03,-0.17,,fixed_window
3,breakaway step 0 -> 0.15V [rep 1/2],1,0.0,0.15,yes,471,2.301,0.018,0.85,-0.03,-0.3,-0.34654,fixed_window
4,breakaway step 0 -> 0.20V [rep 1/2],1,0.0,0.2,yes,471,2.301,-0.006,0.521,0.0,-0.59,-0.22061,fixed_window
5,breakaway step 0 -> 0.25V [rep 1/2],1,0.0,0.25,yes,471,2.301,0.021,2.362,-0.01,-0.76,-0.13358,fixed_window
6,breakaway step 0 -> 0.30V [rep 1/2],1,0.0,0.3,yes,471,2.302,1.612,1.864,0.29,4.22,-0.12836,fixed_window
7,breakaway step 0 -> 0.35V [rep 1/2],1,0.0,0.35,yes,469,2.294,2.05,2.26,0.07,2.69,-0.10663,fixed_window
8,breakaway step 0 -> 0.40V [rep 1/2],1,0.0,0.4,yes,469,2.294,2.573,2.723,-0.25,-3.91,-0.06451,fixed_window
9,breakaway step 0 -> 0.45V [rep 1/2],1,0.0,0.45,yes,472,2.301,3.059,3.167,-0.2,-1.95,-0.03864,fixed_window
10,breakaway step 0 -> 0.50V [rep 1/2],1,0.0,0.5,yes,469,2.293,3.515,3.643,-0.12,-2.43,-0.01172,fixed_window
11,breakaway step 0 -> 0.55V [rep 1/2],1,0.0,0.55,yes,470,2.299,3.995,4.15,-2.7,-8.96,0.00782,fixed_window
12,breakaway step 0 -> 0.60V [rep 1/2],1,0.0,0.6,yes,469,2.294,4.51,4.676,-3.08,-16.1,0.00737,fixed_window
13,breakaway step 0 -> 0.65V [rep 1/2],1,0.0,0.65,yes,469,2.294,5.004,5.176,-4.55,-11.52,0.01735,fixed_window
14,breakaway step 0 -> 0.70V [rep 1/2],1,0.0,0.7,yes,469,2.294,5.489,5.619,-9.75,-30.72,0.04591,fixed_window
15,breakaway step 0 -> 0.75V [rep 1/2],1,0.0,0.75,yes,470,2.299,5.959,6.072,-4.46,-21.63,0.05497,fixed_window
16,breakaway step 0 -> 0.80V [rep 1/2],1,0.0,0.8,yes,470,2.298,6.572,6.691,-6.35,-31.33,0.04111,fixed_window
17,breakaway step 0 -> 0.85V [rep 1/2],1,0.0,0.85,yes,472,2.301,6.896,7.01,-16.48,-35.25,0.08425,fixed_window
18,breakaway step 0 -> 0.90V [rep 1/2],1,0.0,0.9,yes,470,2.298,7.443,7.577,-10.23,-29.71,0.07257,fixed_window
19,breakaway step 0 -> 0.95V [rep 1/2],1,0.0,0.95,yes,470,2.298,7.914,8.012,-11.32,-29.22,0.08899,fixed_window
20,breakaway step 0 -> 1.00V [rep 1/2],1,0.0,1.0,yes,470,2.297,8.274,8.347,-21.3,-40.21,0.11097,fixed_window
21,breakaway step 0 -> 1.05V [rep 1/2],1,0.0,1.05,yes,471,2.302,8.728,8.798,-23.78,-46.43,0.13583,fixed_window
22,breakaway step 0 -> 1.10V [rep 1/2],1,0.0,1.1,yes,470,2.297,9.194,9.327,-15.09,-40.64,0.14144,fixed_window
23,breakaway step 0 -> 1.15V [rep 1/2],1,0.0,1.15,yes,471,2.302,9.639,9.717,-9.73,-24.85,0.14552,fixed_window
24,breakaway step 0 -> 1.20V [rep 1/2],1,0.0,1.2,yes,471,2.302,10.241,10.398,-17.31,-34.32,0.12882,fixed_window
25,breakaway step 0 -> 0.05V [rep 2/2],2,0.0,0.05,yes,470,2.299,0.0,0.054,0.01,0.11,,fixed_window
26,breakaway step 0 -> 0.10V [rep 2/2],2,0.0,0.1,yes,470,2.299,0.028,0.082,0.02,0.11,,fixed_window
27,breakaway step 0 -> 0.15V [rep 2/2],2,0.0,0.15,yes,470,2.298,0.017,0.117,0.01,0.22,-0.31059,fixed_window
28,breakaway step 0 -> 0.20V [rep 2/2],2,0.0,0.2,yes,470,2.299,-0.007,1.972,-0.01,-0.3,-0.19679,fixed_window
29,breakaway step 0 -> 0.25V [rep 2/2],2,0.0,0.25,yes,471,2.303,-0.021,0.587,-0.0,-0.49,-0.10586,fixed_window
30,breakaway step 0 -> 0.30V [rep 2/2],2,0.0,0.3,yes,471,2.303,-0.021,0.566,0.01,-0.7,-0.04214,fixed_window
32,breakaway step 0 -> 0.40V [rep 2/2],2,0.0,0.4,yes,470,2.298,2.546,2.692,0.04,2.64,-0.06553,fixed_window
33,breakaway step 0 -> 0.45V [rep 2/2],2,0.0,0.45,yes,470,2.299,3.035,3.16,-0.03,1.35,-0.05325,fixed_window
34,breakaway step 0 -> 0.50V [rep 2/2],2,0.0,0.5,yes,470,2.297,3.478,3.641,-0.06,-1.49,-0.02427,fixed_window
35,breakaway step 0 -> 0.55V [rep 2/2],2,0.0,0.55,yes,470,2.298,3.993,4.138,-0.35,-2.68,-0.01347,fixed_window
36,breakaway step 0 -> 0.60V [rep 2/2],2,0.0,0.6,yes,471,2.303,4.536,4.689,-1.84,-6.33,-0.00778,fixed_window
37,breakaway step 0 -> 0.65V [rep 2/2],2,0.0,0.65,yes,472,2.301,5.016,5.148,-1.24,-6.91,0.00737,fixed_window
