from_v,to_v,n_reps,wheel_peak_mean,wheel_peak_std,platform_net_mean,platform_net_std
0.0,0.05,2,0.026,0.04,-0.005,0.021
0.0,0.1,2,0.078,0.006,-0.005,0.035
0.0,0.15,2,0.484,0.518,-0.01,0.028
0.0,0.2,2,1.246,1.026,-0.005,0.007
0.0,0.25,2,1.474,1.255,-0.005,0.007
0.0,0.3,2,1.215,0.918,0.15,0.198
0.0,0.35,1,2.26,,0.07,
0.0,0.4,2,2.708,0.022,-0.105,0.205
0.0,0.45,2,3.164,0.005,-0.115,0.12
0.0,0.5,2,3.642,0.001,-0.09,0.042
0.0,0.55,2,4.144,0.008,-1.525,1.662
0.0,0.6,2,4.682,0.009,-2.46,0.877
0.0,0.65,2,5.162,0.02,-2.895,2.341
0.0,0.7,2,5.627,0.012,-5.18,6.463
0.0,0.75,1,6.072,,-4.46,
0.0,0.8,2,6.662,0.041,-3.855,3.528
0.0,0.85,2,7.022,0.016,-8.53,11.243
0.0,0.9,2,7.579,0.004,-6.78,4.879
0.0,0.95,2,7.998,0.021,-7.895,4.844
0.0,1.0,2,8.366,0.028,-15.355,8.407
0.0,1.05,2,8.808,0.015,-20.975,3.967
0.0,1.1,2,9.302,0.035,-20.815,8.096
0.0,1.15,2,9.669,0.068,-21.98,17.324
0.0,1.2,2,10.343,0.078,-22.62,7.509
